id,time,value
Large/test_100,0,102.0
Large/test_100,1,104.0
Large/test_100,2,84.0
Large/test_100,3,78.0
Large/test_100,4,130.0
Large/test_100,5,80.0
Large/test_100,6,133.0
Large/test_100,7,75.0
Large/test_100,8,82.0
Large/test_100,9,78.0
Large/test_100,10,159.0
Large/test_100,11,84.0
Large/test_100,12,122.0
Large/test_100,13,84.0
Large/test_100,14,78.0
Large/test_100,15,73.0
Large/test_100,16,74.0
Large/test_100,17,76.0
Large/test_100,18,85.0
Large/test_100,19,84.0
Large/test_100,20,85.0
Large/test_100,21,82.0
Large/test_100,22,97.0
Large/test_100,23,107.0
Large/test_100,24,91.0
Large/test_100,25,104.0
Large/test_100,26,106.0
Large/test_100,27,98.0
Large/test_100,28,102.0
Large/test_100,29,102.0
Large/test_100,30,95.0
Large/test_100,31,147.0
Large/test_100,32,129.0
Large/test_100,33,105.0
Large/test_100,34,40.0
Large/test_100,35,37.0
Large/test_100,36,51.0
Large/test_100,37,41.0
Large/test_1002,0,60.0
Large/test_1002,1,93.0
Large/test_1002,2,70.0
Large/test_1002,3,68.0
Large/test_1002,4,98.0
Large/test_1002,5,60.0
Large/test_1002,6,99.0
Large/test_1002,7,74.0
Large/test_1002,8,100.0
Large/test_1002,9,63.0
Large/test_1002,10,51.0
Large/test_1002,11,59.0
Large/test_1002,12,63.0
Large/test_1002,13,63.0
Large/test_1002,14,64.0
Large/test_1002,15,162.0
Large/test_1002,16,69.0
Large/test_1002,17,161.0
Large/test_1002,18,49.0
Large/test_1002,19,62.0
Large/test_1002,20,70.0
Large/test_1002,21,59.0
Large/test_1002,22,96.0
Large/test_1002,23,99.0
Large/test_1002,24,70.0
Large/test_1002,25,129.0
Large/test_1002,26,79.0
Large/test_1002,27,66.0
Large/test_1002,28,97.0
Large/test_1002,29,99.0
Large/test_1002,30,59.0
Large/test_1002,31,105.0
Large/test_1002,32,66.0
Large/test_1002,33,228.0
Large/test_1002,34,286.0
Large/test_1002,35,281.0
Large/test_1002,36,59.0
Large/test_1002,37,65.0
Large/test_1002,38,105.0
Large/test_1002,39,130.0
Large/test_1002,40,55.0
Large/test_1002,41,78.0
Large/test_1002,42,108.0
Large/test_1002,43,149.0
Large/test_1002,44,61.0
Large/test_1002,45,137.0
Large/test_1002,46,165.0
Large/test_1002,47,60.0
Large/test_1002,48,115.0
Large/test_1002,49,97.0
Large/test_1002,50,99.0
Large/test_1002,51,110.0
Large/test_1002,52,147.0
Large/test_1002,53,148.0
Large/test_1002,54,133.0
Large/test_1002,55,151.0
Large/test_1002,56,143.0
Large/test_1002,57,105.0
Large/test_1002,58,67.0
Large/test_1002,59,66.0
Large/test_1002,60,64.0
Large/test_1002,61,58.0
Large/test_1002,62,27.0
Large/test_1002,63,42.0
Large/test_1002,64,27.0
Large/test_1002,65,21.0
Large/test_1002,66,27.0
Large/test_1002,67,29.0
Large/test_1002,68,28.0
