id,time,value
prison/Males_in_full_time_custody/NSW,0,11615.0
prison/Males_in_full_time_custody/Vic,0,6293.0
prison/Males_in_full_time_custody/Qld,0,8437.0
prison/Males_in_full_time_custody/SA,0,2844.0
prison/Males_in_full_time_custody/WA,0,5670.0
prison/Males_in_full_time_custody/Tas,0,592.0
prison/Males_in_full_time_custody/NT,0,1811.0
prison/Males_in_full_time_custody/ACT,0,356.0
prison/Males_in_full_time_custody/Aust,0,37619.0
prison/Males_in_full_time_custody/NSW,1,11724.0
prison/Males_in_full_time_custody/Vic,1,6318.0
prison/Males_in_full_time_custody/Qld,1,9143.0
prison/Males_in_full_time_custody/SA,1,2850.0
prison/Males_in_full_time_custody/WA,1,5770.0
prison/Males_in_full_time_custody/Tas,1,653.0
prison/Males_in_full_time_custody/NT,1,1897.0
prison/Males_in_full_time_custody/ACT,1,363.0
prison/Males_in_full_time_custody/Aust,1,38717.0
prison/Males_in_full_time_custody/NSW,2,11748.0
prison/Males_in_full_time_custody/Vic,2,6175.0
prison/Males_in_full_time_custody/Qld,2,9302.0
prison/Males_in_full_time_custody/SA,2,2779.0
prison/Males_in_full_time_custody/WA,2,5981.0
prison/Males_in_full_time_custody/Tas,2,686.0
prison/Males_in_full_time_custody/NT,2,1965.0
prison/Males_in_full_time_custody/ACT,2,354.0
prison/Males_in_full_time_custody/Aust,2,38990.0
prison/Females_in_full_time_custody/NSW,0,837.0
prison/Females_in_full_time_custody/Vic,0,355.0
prison/Females_in_full_time_custody/Qld,0,847.0
prison/Females_in_full_time_custody/SA,0,214.0
prison/Females_in_full_time_custody/WA,0,570.0
prison/Females_in_full_time_custody/Tas,0,48.0
prison/Females_in_full_time_custody/NT,0,111.0
prison/Females_in_full_time_custody/ACT,0,27.0
prison/Females_in_full_time_custody/Aust,0,3008.0
prison/Females_in_full_time_custody/NSW,1,830.0
prison/Females_in_full_time_custody/Vic,1,341.0
prison/Females_in_full_time_custody/Qld,1,920.0
prison/Females_in_full_time_custody/SA,1,237.0
prison/Females_in_full_time_custody/WA,1,594.0
prison/Females_in_full_time_custody/Tas,1,46.0
prison/Females_in_full_time_custody/NT,1,116.0
prison/Females_in_full_time_custody/ACT,1,30.0
prison/Females_in_full_time_custody/Aust,1,3116.0
prison/Females_in_full_time_custody/NSW,2,845.0
prison/Females_in_full_time_custody/Vic,2,312.0
prison/Females_in_full_time_custody/Qld,2,987.0
prison/Females_in_full_time_custody/SA,2,233.0
prison/Females_in_full_time_custody/WA,2,641.0
prison/Females_in_full_time_custody/Tas,2,46.0
prison/Females_in_full_time_custody/NT,2,123.0
prison/Females_in_full_time_custody/ACT,2,27.0
prison/Females_in_full_time_custody/Aust,2,3215.0
prison/Persons_in_full_time_custody/NSW,0,12453.0
prison/Persons_in_full_time_custody/Vic,0,6648.0
prison/Persons_in_full_time_custody/Qld,0,9284.0
prison/Persons_in_full_time_custody/SA,0,3058.0
prison/Persons_in_full_time_custody/WA,0,6240.0
prison/Persons_in_full_time_custody/Tas,0,639.0
prison/Persons_in_full_time_custody/NT,0,1922.0
prison/Persons_in_full_time_custody/ACT,0,383.0
prison/Persons_in_full_time_custody/Aust,0,40627.0
prison/Persons_in_full_time_custody/NSW,1,12554.0
prison/Persons_in_full_time_custody/Vic,1,6659.0
prison/Persons_in_full_time_custody/Qld,1,10063.0
prison/Persons_in_full_time_custody/SA,1,3087.0
prison/Persons_in_full_time_custody/WA,1,6364.0
prison/Persons_in_full_time_custody/Tas,1,699.0
prison/Persons_in_full_time_custody/NT,1,2013.0
prison/Persons_in_full_time_custody/ACT,1,394.0
prison/Persons_in_full_time_custody/Aust,1,41833.0
prison/Persons_in_full_time_custody/NSW,2,12593.0
prison/Persons_in_full_time_custody/Vic,2,6486.0
prison/Persons_in_full_time_custody/Qld,2,10289.0
prison/Persons_in_full_time_custody/SA,2,3012.0
prison/Persons_in_full_time_custody/WA,2,6623.0
prison/Persons_in_full_time_custody/Tas,2,732.0
prison/Persons_in_full_time_custody/NT,2,2089.0
prison/Persons_in_full_time_custody/ACT,2,380.0
prison/Persons_in_full_time_custody/Aust,2,42204.0
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/NSW,0,3541.0
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/Vic,0,686.0
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/Qld,0,3402.0
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/SA,0,760.0
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/WA,0,2505.0
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/Tas,0,151.0
