id,time,value
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,0,23992.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,1,25046.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,2,26597.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,3,28165.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,4,28709.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,5,30549.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,6,30813.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,7,32412.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,8,33857.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,9,34198.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,10,37686.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,11,40526.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,12,43015.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,13,46307.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,14,51387.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,15,41604.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,16,26174.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,17,31343.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,18,59476.0
TSADC01/Table_1_1/Tourism_gross_value_added_GVA,19,65883.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,0,4768.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,1,4942.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,2,5319.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,3,5552.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,4,5456.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,5,5510.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,6,5594.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,7,5957.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,8,6177.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,9,6390.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,10,6700.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,11,7034.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,12,7331.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,13,7988.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,14,8953.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,15,6801.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,16,4697.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,17,6185.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,18,12145.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,19,12231.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,0,28760.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,1,29988.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,2,31916.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,3,33717.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,4,34165.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,5,36060.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,6,36407.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,7,38369.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,8,40034.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,9,40588.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,10,44385.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,11,47560.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,12,50347.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,13,54294.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,14,60339.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,15,48405.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,16,30871.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,17,37528.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,18,71621.0
TSADC01/Table_1_1/Tourism_gross_domestic_product_GDP_b,19,78115.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,1,42801.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,2,44261.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,3,45633.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,4,44683.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,5,45827.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,6,45044.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,7,45898.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,8,46942.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,9,45794.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,10,49493.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,11,52815.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,12,56101.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,13,59631.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,14,63804.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,15,51170.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,16,31428.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,17,37157.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,18,59476.0
TSADC01/Table_1_1/Tourism_GVA_chain_volume_measures,19,63801.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,1,7554.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,2,7915.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,3,7965.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,4,7591.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,5,7492.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,6,7376.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,7,7679.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,8,7785.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,9,7841.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,10,8082.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,11,8370.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,12,8577.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,13,9168.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,14,10108.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,15,7566.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,16,5158.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,17,6572.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,18,12145.0
TSADC01/Table_1_1/Tourism_net_taxes_on_tourism_products,19,11726.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,1,50243.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,2,52070.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,3,53469.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,4,52126.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,5,53140.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,6,52245.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,7,53412.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,8,54554.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,9,53485.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,10,57384.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,11,60963.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,12,64419.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,13,68527.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,14,73651.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,15,58484.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,16,36475.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,17,43633.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,18,71621.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,19,75527.0
TSADC01/Table_1_1/Tourism_share_of_GVA,0,2.8
TSADC01/Table_1_1/Tourism_share_of_GVA,1,2.7
TSADC01/Table_1_1/Tourism_share_of_GVA,2,2.7
TSADC01/Table_1_1/Tourism_share_of_GVA,3,2.6
TSADC01/Table_1_1/Tourism_share_of_GVA,4,2.4
TSADC01/Table_1_1/Tourism_share_of_GVA,5,2.5
TSADC01/Table_1_1/Tourism_share_of_GVA,6,2.3
TSADC01/Table_1_1/Tourism_share_of_GVA,7,2.3
TSADC01/Table_1_1/Tourism_share_of_GVA,8,2.4
TSADC01/Table_1_1/Tourism_share_of_GVA,9,2.3
TSADC01/Table_1_1/Tourism_share_of_GVA,10,2.5
TSADC01/Table_1_1/Tourism_share_of_GVA,11,2.6
TSADC01/Table_1_1/Tourism_share_of_GVA,12,2.6
TSADC01/Table_1_1/Tourism_share_of_GVA,13,2.7
TSADC01/Table_1_1/Tourism_share_of_GVA,14,2.8
TSADC01/Table_1_1/Tourism_share_of_GVA,15,2.2
TSADC01/Table_1_1/Tourism_share_of_GVA,16,1.3
TSADC01/Table_1_1/Tourism_share_of_GVA,17,1.4
TSADC01/Table_1_1/Tourism_share_of_GVA,18,2.5
TSADC01/Table_1_1/Tourism_share_of_GVA,19,2.6
TSADC01/Table_1_1/Tourism_share_of_GDP,0,3.1
TSADC01/Table_1_1/Tourism_share_of_GDP,1,3.0
TSADC01/Table_1_1/Tourism_share_of_GDP,2,2.9
TSADC01/Table_1_1/Tourism_share_of_GDP,3,2.9
TSADC01/Table_1_1/Tourism_share_of_GDP,4,2.7
TSADC01/Table_1_1/Tourism_share_of_GDP,5,2.8
TSADC01/Table_1_1/Tourism_share_of_GDP,6,2.6
TSADC01/Table_1_1/Tourism_share_of_GDP,7,2.6
TSADC01/Table_1_1/Tourism_share_of_GDP,8,2.6
TSADC01/Table_1_1/Tourism_share_of_GDP,9,2.5
TSADC01/Table_1_1/Tourism_share_of_GDP,10,2.7
TSADC01/Table_1_1/Tourism_share_of_GDP,11,2.9
TSADC01/Table_1_1/Tourism_share_of_GDP,12,2.9
TSADC01/Table_1_1/Tourism_share_of_GDP,13,2.9
TSADC01/Table_1_1/Tourism_share_of_GDP,14,3.1
TSADC01/Table_1_1/Tourism_share_of_GDP,15,2.4
TSADC01/Table_1_1/Tourism_share_of_GDP,16,1.5
TSADC01/Table_1_1/Tourism_share_of_GDP,17,1.6
TSADC01/Table_1_1/Tourism_share_of_GDP,18,2.8
TSADC01/Table_1_1/Tourism_share_of_GDP,19,2.9
TSADC01/Table_1_1/Tourism_GDP_current_price,1,4.3
TSADC01/Table_1_1/Tourism_GDP_current_price,2,6.4
TSADC01/Table_1_1/Tourism_GDP_current_price,3,5.6
TSADC01/Table_1_1/Tourism_GDP_current_price,4,1.3
TSADC01/Table_1_1/Tourism_GDP_current_price,5,5.5
TSADC01/Table_1_1/Tourism_GDP_current_price,6,1.0
TSADC01/Table_1_1/Tourism_GDP_current_price,7,5.4
TSADC01/Table_1_1/Tourism_GDP_current_price,8,4.3
TSADC01/Table_1_1/Tourism_GDP_current_price,9,1.4
TSADC01/Table_1_1/Tourism_GDP_current_price,10,9.4
TSADC01/Table_1_1/Tourism_GDP_current_price,11,7.2
TSADC01/Table_1_1/Tourism_GDP_current_price,12,5.9
TSADC01/Table_1_1/Tourism_GDP_current_price,13,7.8
TSADC01/Table_1_1/Tourism_GDP_current_price,14,11.1
TSADC01/Table_1_1/Tourism_GDP_current_price,15,-19.8
TSADC01/Table_1_1/Tourism_GDP_current_price,16,-36.2
TSADC01/Table_1_1/Tourism_GDP_current_price,17,21.6
TSADC01/Table_1_1/Tourism_GDP_current_price,18,90.8
TSADC01/Table_1_1/Tourism_GDP_current_price,19,9.1
